"Designator","Mid X","Mid Y","Layer","Rotation"
"R23","133.604mm","-86.106mm","bottom","180.0"
"R28","139.192mm","-79.502mm","bottom","0.0"
"R25","132.651mm","-80.772mm","bottom","0.0"
"R24","130.048mm","-70.358mm","bottom","90.0"
"R22","137.414mm","-83.566mm","bottom","0.0"
"R4","130.048mm","-74.422mm","bottom","270.0"
